,player_type,amount,rank,team,year
887,Injured List,"$1,428,006",24th,san-francisco-giants,2020
888,Retained,"$13,996,618",11th,san-francisco-giants,2020
889,Minor,"$8,718,276",2nd,san-francisco-giants,2020
890,Total Adjusted Payroll Allocations,"$73,408,817",9th,san-francisco-giants,2020
891,Active Roster,"$25,865,136",23rd,seattle-mariners,2020
892,Injured List,"$3,268,960",19th,seattle-mariners,2020
893,Retained,"$30,708,712",3rd,seattle-mariners,2020
894,Minor,"$165,095",29th,seattle-mariners,2020
895,Total Adjusted Payroll Allocations,"$50,563,459",21st,seattle-mariners,2020
896,Active Roster,"$51,757,860",9th,st-louis-cardinals,2020
897,Exempt List,"$214,370",13th,st-louis-cardinals,2020
898,Injured List,"$12,343,763",8th,st-louis-cardinals,2020
899,Retained,"$12,000,000",14th,st-louis-cardinals,2020
900,Minor,"$1,087,757",8th,st-louis-cardinals,2020
901,Total Adjusted Payroll Allocations,"$73,246,343",10th,st-louis-cardinals,2020
902,Active Roster,"$21,769,463",26th,tampa-bay-rays,2020
903,Injured List,"$1,958,020",21st,tampa-bay-rays,2020
904,Retained,"$2,086,951",24th,tampa-bay-rays,2020
905,Minor,"$2,476,255",4th,tampa-bay-rays,2020
906,Total Adjusted Payroll Allocations,"$28,290,689",28th,tampa-bay-rays,2020
907,Active Roster,"$30,879,036",20th,texas-rangers,2020
908,Injured List,"$16,905,177",4th,texas-rangers,2020
909,Suspended/Restricted,"$248,760",1st,texas-rangers,2020
910,Retained,"$15,338,320",8th,texas-rangers,2020
911,Minor,"$505,066",24th,texas-rangers,2020
912,Total Adjusted Payroll Allocations,"$63,876,359",15th,texas-rangers,2020
913,Active Roster,"$33,467,052",19th,toronto-blue-jays,2020
914,Injured List,"$5,114,444",17th,toronto-blue-jays,2020
915,Suspended/Restricted,"$210,370",2nd,toronto-blue-jays,2020
916,Retained,"$14,667,030",9th,toronto-blue-jays,2020
917,Minor,"$778,905",17th,toronto-blue-jays,2020
918,Total Adjusted Payroll Allocations,"$54,237,801",19th,toronto-blue-jays,2020
919,Active Roster,"$45,664,863",13th,washington-nationals,2020
920,Exempt List,"$1,296,297",9th,washington-nationals,2020
921,Injured List,"$20,500,582",1st,washington-nationals,2020
922,Retained,"$7,137,096",17th,washington-nationals,2020
923,Minor,"$98,495",30th,washington-nationals,2020
924,Total Adjusted Payroll Allocations,"$74,697,333",7th,washington-nationals,2020
925,Active Roster,"$54,229,878",19th,arizona-diamondbacks,2021
926,Injured List,"$8,694,478",21st,arizona-diamondbacks,2021
927,Retained,"$25,868,212",7th,arizona-diamondbacks,2021
928,Minor,"$2,840,361",11th,arizona-diamondbacks,2021
929,Total Adjusted Payroll Allocations,"$91,632,929",21st,arizona-diamondbacks,2021
930,Active Roster,"$51,210,210",21st,athletics,2021
931,Injured List,"$34,397,095",9th,athletics,2021
932,Reserve/Suspended,"$580,500",2nd,athletics,2021
933,Retained,"$2,500,111",30th,athletics,2021
934,Minor,"$1,079,752",26th,athletics,2021
935,Total Adjusted Payroll Allocations,"$89,767,668",23rd,athletics,2021
936,Active Roster,"$115,354,620",11th,atlanta-braves,2021
937,Injured List,"$3,301,950",26th,atlanta-braves,2021
938,Suspended/Restricted,"$16,000,000",2nd,atlanta-braves,2021
939,Retained,"$17,735,468",15th,atlanta-braves,2021
940,Minor,"$1,596,717",16th,atlanta-braves,2021
941,Total Adjusted Payroll Allocations,"$151,393,755",11th,atlanta-braves,2021
942,Active Roster,"$13,838,690",30th,baltimore-orioles,2021
943,Injured List,"$7,682,535",24th,baltimore-orioles,2021
944,Retained,"$19,045,619",14th,baltimore-orioles,2021
945,Minor,"$1,855,026",15th,baltimore-orioles,2021
946,Total Adjusted Payroll Allocations,"$42,421,870",30th,baltimore-orioles,2021
947,Active Roster,"$141,452,731",5th,boston-red-sox,2021
948,Injured List,"$2,832,729",29th,boston-red-sox,2021
949,Retained,"$41,374,493",5th,boston-red-sox,2021
950,Minor,"$1,058,115",27th,boston-red-sox,2021
951,Total Adjusted Payroll Allocations,"$186,718,068",6th,boston-red-sox,2021
952,Active Roster,"$33,340,389",26th,chicago-cubs,2021
953,Injured List,"$38,534,396",5th,chicago-cubs,2021
954,Retained,"$71,494,409",1st,chicago-cubs,2021
955,Minor,"$667,976",29th,chicago-cubs,2021
956,Total Adjusted Payroll Allocations,"$144,037,170",14th,chicago-cubs,2021
957,Active Roster,"$125,829,369",9th,chicago-white-sox,2021
958,Injured List,"$3,193,240",27th,chicago-white-sox,2021
959,Retained,"$10,099,143",21st,chicago-white-sox,2021
960,Minor,"$1,285,073",23rd,chicago-white-sox,2021
961,Total Adjusted Payroll Allocations,"$140,406,825",15th,chicago-white-sox,2021
962,Active Roster,"$85,325,437",13th,cincinnati-reds,2021
963,Injured List,"$35,531,500",7th,cincinnati-reds,2021
964,Retained,"$4,226,409",27th,cincinnati-reds,2021
965,Minor,"$1,504,101",18th,cincinnati-reds,2021
966,Total Adjusted Payroll Allocations,"$126,587,447",16th,cincinnati-reds,2021
967,Active Roster,"$35,682,311",24th,cleveland-guardians,2021
968,Injured List,"$1,367,760",30th,cleveland-guardians,2021
969,Suspended/Restricted,"$276,030",4th,cleveland-guardians,2021
970,Retained,"$11,873,544",19th,cleveland-guardians,2021
971,Minor,"$1,470,889",20th,cleveland-guardians,2021
972,Total Adjusted Payroll Allocations,"$50,670,534",29th,cleveland-guardians,2021
973,Active Roster,"$79,695,422",16th,colorado-rockies,2021
974,Exempt List,"$8,000,000",1st,colorado-rockies,2021
975,Injured List,"$5,931,272",25th,colorado-rockies,2021
976,Retained,"$19,571,956",13th,colorado-rockies,2021
977,Minor,"$3,010,316",10th,colorado-rockies,2021
978,Total Adjusted Payroll Allocations,"$116,208,966",18th,colorado-rockies,2021
979,Active Roster,"$61,408,153",17th,detroit-tigers,2021
980,Injured List,"$13,503,703",17th,detroit-tigers,2021
981,Retained,"$8,352,752",23rd,detroit-tigers,2021
982,Minor,"$434,337",30th,detroit-tigers,2021
983,Total Adjusted Payroll Allocations,"$83,698,945",25th,detroit-tigers,2021
984,Active Roster,"$146,877,726",3rd,houston-astros,2021
985,Injured List,"$39,870,546",4th,houston-astros,2021
986,Retained,"$4,134,205",28th,houston-astros,2021
987,Minor,"$3,339,565",8th,houston-astros,2021
988,Total Adjusted Payroll Allocations,"$194,222,042",4th,houston-astros,2021
989,Active Roster,"$52,514,932",20th,kansas-city-royals,2021
990,Injured List,"$15,758,956",14th,kansas-city-royals,2021
991,Retained,"$21,740,784",9th,kansas-city-royals,2021
992,Minor,"$1,580,873",17th,kansas-city-royals,2021
993,Total Adjusted Payroll Allocations,"$91,595,545",22nd,kansas-city-royals,2021
994,Active Roster,"$33,967,088",25th,los-angeles-angels,2021
995,Injured List,"$100,777,679",1st,los-angeles-angels,2021
996,Retained,"$46,663,119",4th,los-angeles-angels,2021
997,Minor,"$1,341,674",22nd,los-angeles-angels,2021
998,Total Adjusted Payroll Allocations,"$182,749,560",7th,los-angeles-angels,2021
999,Active Roster,"$174,661,542",2nd,los-angeles-dodgers,2021
1000,Injured List,"$37,823,684",6th,los-angeles-dodgers,2021
1001,Suspended/Restricted,"$31,333,333",1st,los-angeles-dodgers,2021
1002,Retained,"$6,150,521",26th,los-angeles-dodgers,2021
1003,Minor,"$15,374,310",1st,los-angeles-dodgers,2021
1004,Total Adjusted Payroll Allocations,"$265,343,390",1st,los-angeles-dodgers,2021
1005,Active Roster,"$16,304,223",29th,miami-marlins,2021
1006,Injured List,"$15,489,077",15th,miami-marlins,2021
1007,Retained,"$23,940,904",8th,miami-marlins,2021
1008,Minor,"$2,353,976",13th,miami-marlins,2021
1009,Total Adjusted Payroll Allocations,"$58,088,180",27th,miami-marlins,2021
1010,Active Roster,"$79,937,621",15th,milwaukee-brewers,2021
1011,Injured List,"$3,109,474",28th,milwaukee-brewers,2021
1012,Retained,"$10,266,654",20th,milwaukee-brewers,2021
1013,Minor,"$6,217,716",2nd,milwaukee-brewers,2021
1014,Total Adjusted Payroll Allocations,"$99,377,415",19th,milwaukee-brewers,2021
1015,Active Roster,"$84,942,828",14th,minnesota-twins,2021
1016,Injured List,"$13,198,044",18th,minnesota-twins,2021
1017,Retained,"$19,934,219",11th,minnesota-twins,2021
1018,Minor,"$3,342,848",7th,minnesota-twins,2021
1019,Total Adjusted Payroll Allocations,"$121,417,939",17th,minnesota-twins,2021
1020,Active Roster,"$176,565,754",1st,new-york-mets,2021
1021,Injured List,"$11,933,570",19th,new-york-mets,2021
1022,Retained,"$9,524,946",22nd,new-york-mets,2021
1023,Minor,"$3,735,419",6th,new-york-mets,2021
1024,Total Adjusted Payroll Allocations,"$201,189,189",3rd,new-york-mets,2021
1025,Active Roster,"$141,518,753",4th,new-york-yankees,2021
1026,Injured List,"$48,217,362",3rd,new-york-yankees,2021
1027,Retained,"$12,129,712",18th,new-york-yankees,2021
1028,Minor,"$1,445,186",21st,new-york-yankees,2021
1029,Total Adjusted Payroll Allocations,"$203,311,013",2nd,new-york-yankees,2021
1030,Active Roster,"$141,014,046",6th,philadelphia-phillies,2021
1031,Injured List,"$19,936,225",10th,philadelphia-phillies,2021
1032,Suspended/Restricted,"$10,000,000",3rd,philadelphia-phillies,2021
1033,Retained,"$13,803,916",16th,philadelphia-phillies,2021
1034,Minor,"$5,759,036",3rd,philadelphia-phillies,2021
1035,Total Adjusted Payroll Allocations,"$190,513,223",5th,philadelphia-phillies,2021
1036,Active Roster,"$17,797,841",28th,pittsburgh-pirates,2021
1037,Injured List,"$7,847,255",23rd,pittsburgh-pirates,2021
1038,Reserve/Suspended,"$7,750,000",1st,pittsburgh-pirates,2021
1039,Retained,"$19,989,602",10th,pittsburgh-pirates,2021
1040,Minor,"$971,911",28th,pittsburgh-pirates,2021
1041,Total Adjusted Payroll Allocations,"$54,356,609",28th,pittsburgh-pirates,2021
1042,Active Roster,"$125,977,584",8th,san-diego-padres,2021
1043,Injured List,"$49,745,500",2nd,san-diego-padres,2021
1044,Retained,"$2,549,590",29th,san-diego-padres,2021
1045,Minor,"$1,494,672",19th,san-diego-padres,2021
1046,Total Adjusted Payroll Allocations,"$179,767,346",8th,san-diego-padres,2021
1047,Active Roster,"$134,386,796",7th,san-francisco-giants,2021
1048,Injured List,"$19,766,740",11th,san-francisco-giants,2021
1049,Retained,"$12,958,219",17th,san-francisco-giants,2021
1050,Minor,"$4,079,790",5th,san-francisco-giants,2021
1051,Total Adjusted Payroll Allocations,"$171,191,545",9th,san-francisco-giants,2021
1052,Active Roster,"$57,010,274",18th,seattle-mariners,2021
1053,Injured List,"$16,037,933",13th,seattle-mariners,2021
1054,Reserve/Suspended,"$570,500",3rd,seattle-mariners,2021
1055,Retained,"$8,004,079",24th,seattle-mariners,2021
1056,Minor,"$2,199,327",14th,seattle-mariners,2021
1057,Total Adjusted Payroll Allocations,"$83,822,113",24th,seattle-mariners,2021
1058,Active Roster,"$116,018,560",10th,st-louis-cardinals,2021
1059,Injured List,"$14,512,682",16th,st-louis-cardinals,2021
1060,Retained,"$19,759,129",12th,st-louis-cardinals,2021
1061,Minor,"$1,179,623",25th,st-louis-cardinals,2021
1062,Total Adjusted Payroll Allocations,"$151,469,994",10th,st-louis-cardinals,2021
1063,Active Roster,"$44,288,651",23rd,tampa-bay-rays,2021
1064,Injured List,"$18,352,159",12th,tampa-bay-rays,2021
1065,Retained,"$6,218,025",25th,tampa-bay-rays,2021
1066,Minor,"$1,245,717",24th,tampa-bay-rays,2021
1067,Total Adjusted Payroll Allocations,"$70,104,552",26th,tampa-bay-rays,2021
1068,Active Roster,"$24,843,032",27th,texas-rangers,2021
1069,Injured List,"$7,899,375",22nd,texas-rangers,2021
1070,Retained,"$58,916,700",2nd,texas-rangers,2021
1071,Minor,"$4,129,712",4th,texas-rangers,2021
1072,Total Adjusted Payroll Allocations,"$95,788,819",20th,texas-rangers,2021
1073,Active Roster,"$109,902,749",12th,toronto-blue-jays,2021
1074,Injured List,"$8,853,529",20th,toronto-blue-jays,2021
1075,Retained,"$28,315,121",6th,toronto-blue-jays,2021
1076,Minor,"$3,068,854",9th,toronto-blue-jays,2021
1077,Total Adjusted Payroll Allocations,"$150,140,253",12th,toronto-blue-jays,2021
1078,Active Roster,"$50,076,145",22nd,washington-nationals,2021
1079,Injured List,"$34,877,122",8th,washington-nationals,2021
1080,Retained,"$57,061,332",3rd,washington-nationals,2021
1081,Minor,"$2,400,588",12th,washington-nationals,2021
1082,Total Adjusted Payroll Allocations,"$144,415,187",13th,washington-nationals,2021
1083,Active Roster,"$53,176,803",24th,arizona-diamondbacks,2022
1084,Injured List,"$19,224,958",16th,arizona-diamondbacks,2022
1085,Suspended/Restricted,"$700,000",3rd,arizona-diamondbacks,2022
1086,Retained,"$9,533,407",26th,arizona-diamondbacks,2022
1087,Minor,"$2,484,582",13th,arizona-diamondbacks,2022
1088,Total Adjusted Payroll Allocations,"$85,119,750",26th,arizona-diamondbacks,2022
1089,Active Roster,"$15,196,960",30th,athletics,2022
1090,Injured List,"$6,642,582",25th,athletics,2022
1091,Suspended/Restricted,"$373,062",4th,athletics,2022
1092,Retained,"$22,966,027",11th,athletics,2022
1093,Minor,"$3,265,269",7th,athletics,2022
1094,Total Adjusted Payroll Allocations,"$48,443,900",29th,athletics,2022
1095,Active Roster,"$143,633,732",8th,atlanta-braves,2022
1096,Injured List,"$20,918,726",14th,atlanta-braves,2022
1097,Retained,"$10,710,954",23rd,atlanta-braves,2022
1098,Minor,"$1,875,476",19th,atlanta-braves,2022
1099,Total Adjusted Payroll Allocations,"$177,138,888",10th,atlanta-braves,2022
1100,Active Roster,"$25,488,146",28th,baltimore-orioles,2022
1101,Injured List,"$2,759,974",29th,baltimore-orioles,2022
1102,Retained,"$13,258,460",19th,baltimore-orioles,2022
1103,Minor,"$3,381,808",6th,baltimore-orioles,2022
1104,Total Adjusted Payroll Allocations,"$44,888,388",30th,baltimore-orioles,2022
1105,Active Roster,"$109,769,156",12th,boston-red-sox,2022
1106,Injured List,"$50,192,677",5th,boston-red-sox,2022
1107,Retained,"$48,696,520",2nd,boston-red-sox,2022
1108,Minor,"$3,153,778",9th,boston-red-sox,2022
1109,Total Adjusted Payroll Allocations,"$211,812,131",6th,boston-red-sox,2022
1110,Active Roster,"$83,228,504",17th,chicago-cubs,2022
1111,Injured List,"$44,219,852",6th,chicago-cubs,2022
1112,Retained,"$20,225,459",13th,chicago-cubs,2022
1113,Minor,"$2,906,202",10th,chicago-cubs,2022
1114,Total Adjusted Payroll Allocations,"$150,580,017",14th,chicago-cubs,2022
1115,Active Roster,"$154,697,729",6th,chicago-white-sox,2022
1116,Injured List,"$20,008,123",15th,chicago-white-sox,2022
1117,Retained,"$25,306,501",10th,chicago-white-sox,2022
1118,Minor,"$3,192,973",8th,chicago-white-sox,2022
1119,Total Adjusted Payroll Allocations,"$203,205,326",7th,chicago-white-sox,2022
1120,Active Roster,"$22,546,012",29th,cincinnati-reds,2022
1121,Injured List,"$61,180,258",3rd,cincinnati-reds,2022
1122,Retained,"$30,148,483",5th,cincinnati-reds,2022
1123,Minor,"$1,542,568",21st,cincinnati-reds,2022
1124,Total Adjusted Payroll Allocations,"$115,417,321",21st,cincinnati-reds,2022
1125,Active Roster,"$56,507,878",22nd,cleveland-guardians,2022
1126,Injured List,"$702,900",30th,cleveland-guardians,2022
1127,Retained,"$4,619,812",30th,cleveland-guardians,2022
1128,Minor,"$4,646,902",4th,cleveland-guardians,2022
1129,Total Adjusted Payroll Allocations,"$66,477,492",27th,cleveland-guardians,2022
1130,Active Roster,"$66,960,029",19th,colorado-rockies,2022
1131,Injured List,"$64,172,808",2nd,colorado-rockies,2022
1132,Retained,"$7,833,905",28th,colorado-rockies,2022
1133,Minor,"$1,045,476",27th,colorado-rockies,2022
1134,Total Adjusted Payroll Allocations,"$140,012,218",17th,colorado-rockies,2022
1135,Active Roster,"$105,762,860",13th,detroit-tigers,2022
1136,Injured List,"$13,017,207",18th,detroit-tigers,2022
1137,Retained,"$15,133,063",16th,detroit-tigers,2022
1138,Minor,"$1,199,458",25th,detroit-tigers,2022
1139,Total Adjusted Payroll Allocations,"$135,112,588",18th,detroit-tigers,2022
1140,Active Roster,"$145,414,730",7th,houston-astros,2022
1141,Injured List,"$21,550,000",12th,houston-astros,2022
1142,Retained,"$14,691,453",17th,houston-astros,2022
1143,Minor,"$2,135,613",16th,houston-astros,2022
1144,Total Adjusted Payroll Allocations,"$183,791,796",8th,houston-astros,2022
1145,Active Roster,"$62,728,828",20th,kansas-city-royals,2022
1146,Injured List,"$6,413,200",26th,kansas-city-royals,2022
1147,Retained,"$21,516,010",12th,kansas-city-royals,2022
1148,Minor,"$1,955,673",17th,kansas-city-royals,2022
1149,Total Adjusted Payroll Allocations,"$92,613,711",24th,kansas-city-royals,2022
1150,Active Roster,"$118,104,253",11th,los-angeles-angels,2022
1151,Injured List,"$6,978,028",24th,los-angeles-angels,2022
1152,Retained,"$49,768,044",1st,los-angeles-angels,2022
1153,Minor,"$2,877,486",11th,los-angeles-angels,2022
1154,Total Adjusted Payroll Allocations,"$177,727,811",9th,los-angeles-angels,2022
1155,Active Roster,"$231,003,922",2nd,los-angeles-dodgers,2022
1156,Injured List,"$28,920,266",9th,los-angeles-dodgers,2022
1157,Reserve/Suspended,"$3,868,131",2nd,los-angeles-dodgers,2022
1158,Retained,"$5,332,866",29th,los-angeles-dodgers,2022
1159,Minor,"$1,256,241",24th,los-angeles-dodgers,2022
1160,Total Adjusted Payroll Allocations,"$270,381,426",1st,los-angeles-dodgers,2022
1161,Active Roster,"$54,841,980",23rd,miami-marlins,2022
1162,Injured List,"$20,999,362",13th,miami-marlins,2022
1163,Retained,"$10,674,607",24th,miami-marlins,2022
1164,Minor,"$1,938,473",18th,miami-marlins,2022
1165,Total Adjusted Payroll Allocations,"$88,454,422",25th,miami-marlins,2022
1166,Active Roster,"$93,743,089",15th,milwaukee-brewers,2022
1167,Injured List,"$5,763,506",27th,milwaukee-brewers,2022
1168,Retained,"$26,548,013",8th,milwaukee-brewers,2022
1169,Minor,"$4,714,717",3rd,milwaukee-brewers,2022
1170,Total Adjusted Payroll Allocations,"$130,769,325",19th,milwaukee-brewers,2022
1171,Active Roster,"$77,058,186",18th,minnesota-twins,2022
1172,Injured List,"$53,517,506",4th,minnesota-twins,2022
1173,Retained,"$18,666,930",15th,minnesota-twins,2022
1174,Minor,"$1,120,869",26th,minnesota-twins,2022
1175,Total Adjusted Payroll Allocations,"$150,363,491",15th,minnesota-twins,2022
1176,Active Roster,"$231,062,889",1st,new-york-mets,2022
1177,Injured List,"$4,155,954",28th,new-york-mets,2022
1178,Retained,"$28,130,999",7th,new-york-mets,2022
1179,Minor,"$992,664",28th,new-york-mets,2022
1180,Total Adjusted Payroll Allocations,"$264,342,506",2nd,new-york-mets,2022
1181,Active Roster,"$214,676,803",3rd,new-york-yankees,2022
1182,Injured List,"$25,203,665",11th,new-york-yankees,2022
1183,Retained,"$12,115,094",21st,new-york-yankees,2022
1184,Minor,"$961,638",29th,new-york-yankees,2022
1185,Total Adjusted Payroll Allocations,"$252,957,200",3rd,new-york-yankees,2022
1186,Active Roster,"$164,119,333",5th,philadelphia-phillies,2022
1187,Injured List,"$11,897,332",19th,philadelphia-phillies,2022
1188,Suspended/Restricted,"$27,638,462",1st,philadelphia-phillies,2022
1189,Retained,"$30,945,214",4th,philadelphia-phillies,2022
1190,Minor,"$9,883,756",1st,philadelphia-phillies,2022
1191,Total Adjusted Payroll Allocations,"$244,484,097",4th,philadelphia-phillies,2022
1192,Active Roster,"$30,472,503",27th,pittsburgh-pirates,2022
1193,Injured List,"$8,449,026",23rd,pittsburgh-pirates,2022
1194,Retained,"$13,072,838",20th,pittsburgh-pirates,2022
1195,Minor,"$4,189,665",5th,pittsburgh-pirates,2022
1196,Total Adjusted Payroll Allocations,"$56,184,032",28th,pittsburgh-pirates,2022
1197,Active Roster,"$173,934,032",4th,san-diego-padres,2022
1198,Injured List,"$10,925,000",20th,san-diego-padres,2022
1199,Reserve/Suspended,"$4,203,297",1st,san-diego-padres,2022
1200,Retained,"$34,528,348",3rd,san-diego-padres,2022
1201,Minor,"$921,017",30th,san-diego-padres,2022
1202,Total Adjusted Payroll Allocations,"$224,511,694",5th,san-diego-padres,2022
1203,Active Roster,"$43,246,200",26th,san-francisco-giants,2022
1204,Injured List,"$90,082,706",1st,san-francisco-giants,2022
1205,Suspended/Restricted,"$6,000,000",2nd,san-francisco-giants,2022
1206,Retained,"$19,651,602",14th,san-francisco-giants,2022
1207,Minor,"$2,736,809",12th,san-francisco-giants,2022
1208,Total Adjusted Payroll Allocations,"$161,717,317",12th,san-francisco-giants,2022
1209,Active Roster,"$84,933,408",16th,seattle-mariners,2022
1210,Injured List,"$9,896,644",21st,seattle-mariners,2022
1211,Retained,"$13,680,533",18th,seattle-mariners,2022
1212,Minor,"$2,315,822",15th,seattle-mariners,2022
1213,Total Adjusted Payroll Allocations,"$110,826,407",22nd,seattle-mariners,2022
1214,Active Roster,"$134,723,541",10th,st-louis-cardinals,2022
1215,Injured List,"$8,750,000",22nd,st-louis-cardinals,2022
1216,Retained,"$9,569,813",25th,st-louis-cardinals,2022
1217,Minor,"$2,334,971",14th,st-louis-cardinals,2022
1218,Total Adjusted Payroll Allocations,"$155,378,325",13th,st-louis-cardinals,2022
1219,Active Roster,"$50,869,016",25th,tampa-bay-rays,2022
1220,Injured List,"$33,372,433",8th,tampa-bay-rays,2022
1221,Retained,"$11,455,026",22nd,tampa-bay-rays,2022
1222,Minor,"$1,470,598",22nd,tampa-bay-rays,2022
1223,Total Adjusted Payroll Allocations,"$97,167,073",23rd,tampa-bay-rays,2022
1224,Active Roster,"$100,539,086",14th,texas-rangers,2022
1225,Injured List,"$13,330,822",17th,texas-rangers,2022
1226,Retained,"$30,024,329",6th,texas-rangers,2022
1227,Minor,"$6,143,209",2nd,texas-rangers,2022
1228,Total Adjusted Payroll Allocations,"$150,037,446",16th,texas-rangers,2022
1229,Active Roster,"$141,662,800",9th,toronto-blue-jays,2022
1230,Injured List,"$25,698,159",10th,toronto-blue-jays,2022
1231,Retained,"$7,955,708",27th,toronto-blue-jays,2022
1232,Minor,"$1,685,299",20th,toronto-blue-jays,2022
1233,Total Adjusted Payroll Allocations,"$177,001,966",11th,toronto-blue-jays,2022
1234,Active Roster,"$58,988,509",21st,washington-nationals,2022
1235,Injured List,"$40,679,307",7th,washington-nationals,2022
1236,Retained,"$25,629,924",9th,washington-nationals,2022
1237,Minor,"$1,374,698",23rd,washington-nationals,2022
1238,Total Adjusted Payroll Allocations,"$126,672,438",20th,washington-nationals,2022
1239,Active Roster,"$60,263,998",21st,arizona-diamondbacks,2023
1240,Injured List,"$11,197,775",25th,arizona-diamondbacks,2023
1241,Retained,"$39,202,529",3rd,arizona-diamondbacks,2023
1242,Minor,"$6,113,052",4th,arizona-diamondbacks,2023
1243,Total Adjusted Payroll Allocations,"$116,777,354",20th,arizona-diamondbacks,2023
1244,Active Roster,"$31,196,397",29th,athletics,2023
1245,Injured List,"$7,178,987",27th,athletics,2023
1246,Retained,"$16,193,039",17th,athletics,2023
1247,Minor,"$7,674,804",2nd,athletics,2023
1248,Total Adjusted Payroll Allocations,"$62,243,227",30th,athletics,2023
1249,Active Roster,"$158,186,507",6th,atlanta-braves,2023
1250,Injured List,"$34,160,535",11th,atlanta-braves,2023
1251,Retained,"$11,447,888",21st,atlanta-braves,2023
1252,Minor,"$894,201",29th,atlanta-braves,2023
1253,Total Adjusted Payroll Allocations,"$204,689,131",10th,atlanta-braves,2023
1254,Active Roster,"$53,159,734",24th,baltimore-orioles,2023
1255,Injured List,"$3,179,476",29th,baltimore-orioles,2023
1256,Retained,"$9,861,733",23rd,baltimore-orioles,2023
1257,Minor,"$2,505,496",12th,baltimore-orioles,2023
1258,Total Adjusted Payroll Allocations,"$68,706,439",29th,baltimore-orioles,2023
1259,Active Roster,"$128,063,857",11th,boston-red-sox,2023
1260,Injured List,"$28,736,341",14th,boston-red-sox,2023
1261,Retained,"$22,444,333",13th,boston-red-sox,2023
1262,Minor,"$1,682,265",14th,boston-red-sox,2023
1263,Total Adjusted Payroll Allocations,"$180,926,796",13th,boston-red-sox,2023
1264,Active Roster,"$134,751,105",9th,chicago-cubs,2023
1265,Injured List,"$12,522,069",23rd,chicago-cubs,2023
1266,Retained,"$35,403,285",7th,chicago-cubs,2023
1267,Minor,"$6,732,899",3rd,chicago-cubs,2023
1268,Total Adjusted Payroll Allocations,"$189,409,358",11th,chicago-cubs,2023
1269,Active Roster,"$85,292,616",14th,chicago-white-sox,2023
1270,Injured List,"$37,717,329",10th,chicago-white-sox,2023
1271,Retained,"$38,812,106",5th,chicago-white-sox,2023
1272,Minor,"$1,041,785",27th,chicago-white-sox,2023
1273,Total Adjusted Payroll Allocations,"$162,863,836",15th,chicago-white-sox,2023
1274,Active Roster,"$43,815,845",27th,cincinnati-reds,2023
1275,Injured List,"$9,699,072",26th,cincinnati-reds,2023
1276,Retained,"$38,896,450",4th,cincinnati-reds,2023
1277,Minor,"$3,162,050",9th,cincinnati-reds,2023
1278,Total Adjusted Payroll Allocations,"$95,573,417",24th,cincinnati-reds,2023
1279,Active Roster,"$54,881,912",22nd,cleveland-guardians,2023
1280,Injured List,"$1,881,400",30th,cleveland-guardians,2023
1281,Suspended/Restricted,"$592,263",5th,cleveland-guardians,2023
1282,Retained,"$30,397,406",9th,cleveland-guardians,2023
1283,Minor,"$1,158,646",24th,cleveland-guardians,2023
1284,Total Adjusted Payroll Allocations,"$88,911,627",26th,cleveland-guardians,2023
1285,Active Roster,"$75,181,741",18th,colorado-rockies,2023
1286,Injured List,"$46,742,764",8th,colorado-rockies,2023
1287,Retained,"$47,613,189",2nd,colorado-rockies,2023
1288,Minor,"$1,488,913",18th,colorado-rockies,2023
1289,Total Adjusted Payroll Allocations,"$171,026,607",14th,colorado-rockies,2023
1290,Active Roster,"$82,493,535",16th,detroit-tigers,2023
1291,Injured List,"$20,259,107",18th,detroit-tigers,2023
1292,Retained,"$15,005,322",19th,detroit-tigers,2023
1293,Minor,"$1,586,550",17th,detroit-tigers,2023
1294,Total Adjusted Payroll Allocations,"$119,344,514",19th,detroit-tigers,2023
1295,Active Roster,"$211,270,410",2nd,houston-astros,2023
1296,Injured List,"$16,713,200",20th,houston-astros,2023
1297,Suspended/Restricted,"$3,600,000",3rd,houston-astros,2023
1298,Retained,"$2,830,000",30th,houston-astros,2023
1299,Minor,"$2,694,138",10th,houston-astros,2023
1300,Total Adjusted Payroll Allocations,"$237,107,748",7th,houston-astros,2023
1301,Active Roster,"$54,242,001",23rd,kansas-city-royals,2023
1302,Injured List,"$17,014,952",19th,kansas-city-royals,2023
1303,Retained,"$22,659,571",12th,kansas-city-royals,2023
1304,Minor,"$1,679,823",15th,kansas-city-royals,2023
1305,Total Adjusted Payroll Allocations,"$95,596,347",23rd,kansas-city-royals,2023
1306,Active Roster,"$43,769,159",28th,los-angeles-angels,2023
1307,Injured List,"$147,537,321",1st,los-angeles-angels,2023
1308,Suspended/Restricted,"$7,000,000",2nd,los-angeles-angels,2023
1309,Retained,"$28,243,281",10th,los-angeles-angels,2023
1310,Minor,"$1,334,515",20th,los-angeles-angels,2023
1311,Total Adjusted Payroll Allocations,"$227,884,276",8th,los-angeles-angels,2023
1312,Active Roster,"$149,705,968",7th,los-angeles-dodgers,2023
1313,Injured List,"$33,764,202",12th,los-angeles-dodgers,2023
1314,Suspended/Restricted,"$20,715,030",1st,los-angeles-dodgers,2023
1315,Retained,"$34,802,727",8th,los-angeles-dodgers,2023
1316,Minor,"$1,290,369",22nd,los-angeles-dodgers,2023
1317,Total Adjusted Payroll Allocations,"$240,278,296",6th,los-angeles-dodgers,2023
