,player_type,amount,rank,team,year
167,Retained,"$2,773,173",28th,baltimore-orioles,2016
168,Minor,"$417,751",18th,baltimore-orioles,2016
169,Total Adjusted Payroll Allocations,"$154,148,832",9th,baltimore-orioles,2016
170,Active Roster,"$165,121,274",4th,boston-red-sox,2016
171,Injured List,"$19,567,513",9th,boston-red-sox,2016
172,Retained,"$2,194,948",29th,boston-red-sox,2016
173,Minor,"$20,875,101",1st,boston-red-sox,2016
174,Total Adjusted Payroll Allocations,"$207,758,836",3rd,boston-red-sox,2016
175,Active Roster,"$165,798,832",3rd,chicago-cubs,2016
176,Injured List,"$2,050,500",26th,chicago-cubs,2016
177,Retained,"$17,412,586",13th,chicago-cubs,2016
178,Minor,"$1,510,576",9th,chicago-cubs,2016
179,Total Adjusted Payroll Allocations,"$186,772,494",5th,chicago-cubs,2016
180,Active Roster,"$88,724,466",16th,chicago-white-sox,2016
181,Injured List,"$12,024,268",13th,chicago-white-sox,2016
182,Retained,"$28,966,952",9th,chicago-white-sox,2016
183,Total Adjusted Payroll Allocations,"$129,715,686",16th,chicago-white-sox,2016
184,Active Roster,"$63,783,665",21st,cincinnati-reds,2016
185,Injured List,"$11,856,070",15th,cincinnati-reds,2016
186,Retained,"$10,862,757",19th,cincinnati-reds,2016
187,Minor,"$723,945",13th,cincinnati-reds,2016
188,Total Adjusted Payroll Allocations,"$87,226,437",25th,cincinnati-reds,2016
189,Active Roster,"$61,284,062",22nd,cleveland-guardians,2016
190,Injured List,"$11,875,000",14th,cleveland-guardians,2016
191,Reserve/Suspended,"$1,000,000",1st,cleveland-guardians,2016
192,Retained,"$30,765,065",8th,cleveland-guardians,2016
193,Minor,"$47,141",26th,cleveland-guardians,2016
194,Total Adjusted Payroll Allocations,"$104,971,268",18th,cleveland-guardians,2016
195,Active Roster,"$88,354,041",17th,colorado-rockies,2016
196,Injured List,"$1,289,832",27th,colorado-rockies,2016
197,Retained,"$16,710,362",14th,colorado-rockies,2016
198,Minor,"$548,045",16th,colorado-rockies,2016
199,Total Adjusted Payroll Allocations,"$106,902,280",17th,colorado-rockies,2016
200,Active Roster,"$163,019,728",5th,detroit-tigers,2016
201,Injured List,"$28,189,200",3rd,detroit-tigers,2016
202,Retained,"$8,675,064",22nd,detroit-tigers,2016
203,Minor,"$295,293",19th,detroit-tigers,2016
204,Total Adjusted Payroll Allocations,"$200,179,285",4th,detroit-tigers,2016
205,Active Roster,"$75,441,606",19th,houston-astros,2016
206,Injured List,"$6,968,124",19th,houston-astros,2016
207,Retained,"$15,955,584",15th,houston-astros,2016
208,Minor,"$2,113,693",7th,houston-astros,2016
209,Total Adjusted Payroll Allocations,"$99,828,742",20th,houston-astros,2016
210,Active Roster,"$106,349,212",13th,kansas-city-royals,2016
211,Injured List,"$20,825,000",7th,kansas-city-royals,2016
212,Retained,"$14,210,664",16th,kansas-city-royals,2016
213,Minor,"$202,482",21st,kansas-city-royals,2016
214,Total Adjusted Payroll Allocations,"$141,587,358",14th,kansas-city-royals,2016
215,Active Roster,"$89,811,509",15th,los-angeles-angels,2016
216,Injured List,"$39,667,205",2nd,los-angeles-angels,2016
217,Retained,"$42,327,190",4th,los-angeles-angels,2016
218,Minor,"$2,484,469",5th,los-angeles-angels,2016
219,Total Adjusted Payroll Allocations,"$174,290,373",7th,los-angeles-angels,2016
220,Active Roster,"$193,881,011",1st,los-angeles-dodgers,2016
221,Injured List,"$13,288,890",12th,los-angeles-dodgers,2016
222,Retained,"$52,652,847",1st,los-angeles-dodgers,2016
223,Minor,"$4,647,746",3rd,los-angeles-dodgers,2016
224,Total Adjusted Payroll Allocations,"$264,470,494",1st,los-angeles-dodgers,2016
225,Active Roster,"$60,842,038",23rd,miami-marlins,2016
226,Injured List,"$3,300,000",23rd,miami-marlins,2016
227,Retained,"$10,032,559",20th,miami-marlins,2016
228,Minor,"$2,190,709",6th,miami-marlins,2016
229,Total Adjusted Payroll Allocations,"$76,365,306",28th,miami-marlins,2016
230,Active Roster,"$49,464,613",26th,milwaukee-brewers,2016
231,Injured List,"$2,517,700",25th,milwaukee-brewers,2016
232,Retained,"$8,299,097",23rd,milwaukee-brewers,2016
233,Minor,"$1,879,781",8th,milwaukee-brewers,2016
234,Total Adjusted Payroll Allocations,"$62,161,191",30th,milwaukee-brewers,2016
235,Active Roster,"$66,477,950",20th,minnesota-twins,2016
236,Injured List,"$24,241,532",4th,minnesota-twins,2016
237,Retained,"$3,663,294",26th,minnesota-twins,2016
238,Minor,"$2,861,681",4th,minnesota-twins,2016
239,Total Adjusted Payroll Allocations,"$97,244,457",23rd,minnesota-twins,2016
240,Active Roster,"$101,296,332",14th,new-york-mets,2016
241,Injured List,"$39,822,605",1st,new-york-mets,2016
242,Retained,"$6,117,623",25th,new-york-mets,2016
243,Total Adjusted Payroll Allocations,"$147,236,560",12th,new-york-mets,2016
244,Active Roster,"$159,213,515",6th,new-york-yankees,2016
245,Injured List,"$10,509,409",17th,new-york-yankees,2016
246,Retained,"$50,238,466",2nd,new-york-yankees,2016
247,Minor,"$781,986",10th,new-york-yankees,2016
248,Total Adjusted Payroll Allocations,"$220,743,376",2nd,new-york-yankees,2016
249,Active Roster,"$53,797,706",25th,philadelphia-phillies,2016
250,Injured List,"$22,025,303",5th,philadelphia-phillies,2016
251,Retained,"$21,909,132",10th,philadelphia-phillies,2016
252,Minor,"$6,166,668",2nd,philadelphia-phillies,2016
253,Total Adjusted Payroll Allocations,"$103,898,809",19th,philadelphia-phillies,2016
254,Active Roster,"$57,311,465",24th,pittsburgh-pirates,2016
255,Injured List,"$10,861,276",16th,pittsburgh-pirates,2016
256,Retained,"$31,267,751",7th,pittsburgh-pirates,2016
257,Minor,"$77,644",25th,pittsburgh-pirates,2016
258,Total Adjusted Payroll Allocations,"$99,518,136",21st,pittsburgh-pirates,2016
259,Active Roster,"$21,508,794",30th,san-diego-padres,2016
260,Injured List,"$13,711,664",10th,san-diego-padres,2016
261,Retained,"$48,181,815",3rd,san-diego-padres,2016
262,Minor,"$33,286",27th,san-diego-padres,2016
263,Total Adjusted Payroll Allocations,"$83,435,559",26th,san-diego-padres,2016
264,Active Roster,"$176,684,532",2nd,san-francisco-giants,2016
265,Injured List,"$487,120",30th,san-francisco-giants,2016
266,Retained,"$1,082,965",30th,san-francisco-giants,2016
267,Minor,"$579,729",14th,san-francisco-giants,2016
268,Total Adjusted Payroll Allocations,"$178,834,344",6th,san-francisco-giants,2016
269,Active Roster,"$132,303,221",11th,seattle-mariners,2016
270,Injured List,"$4,036,934",22nd,seattle-mariners,2016
271,Retained,"$9,931,590",21st,seattle-mariners,2016
272,Minor,"$732,035",12th,seattle-mariners,2016
273,Total Adjusted Payroll Allocations,"$147,003,780",13th,seattle-mariners,2016
274,Active Roster,"$132,790,389",10th,st-louis-cardinals,2016
275,Injured List,"$13,596,500",11th,st-louis-cardinals,2016
276,Retained,"$2,968,981",27th,st-louis-cardinals,2016
277,Total Adjusted Payroll Allocations,"$149,355,870",10th,st-louis-cardinals,2016
